post_id,campaign_id,platform,content_type,post_date,post_hour,day_of_week,caption_length,hashtag_count,has_emoji,reach,impressions,likes,comments,shares,saves,clicks,engagement_rate,ctr,sentiment_score,sentiment_label
177,10,Twitter,Article,2024-04-24,13,Wednesday,375,4,False,250984,323029,4243,611,133,314,10999,0.0199,0.034,-0.858,Neutral
178,11,Twitter,Tweet,2024-06-21,4,Friday,55,16,True,423553,570028,5168,430,553,396,35752,0.0145,0.0627,0.221,Positive
179,11,Twitter,Reel,2024-06-14,4,Friday,405,3,False,185123,524608,2724,455,374,183,36826,0.0192,0.0702,-0.297,Neutral
180,11,Twitter,Tweet,2024-06-11,0,Tuesday,454,27,False,415752,596850,3208,643,415,660,31353,0.0103,0.0525,-0.589,Negative
181,11,Twitter,Video,2024-06-16,20,Sunday,324,2,True,99905,289207,791,214,147,57,12910,0.0115,0.0446,0.974,Neutral
182,11,Twitter,Reel,2024-06-07,18,Friday,54,0,False,203814,645265,3092,600,411,630,49563,0.0201,0.0768,-0.569,Positive
183,11,Twitter,Carousel,2024-06-27,19,Thursday,98,8,True,414815,852502,4449,789,335,792,32530,0.0134,0.0382,-0.38,Negative
184,11,Twitter,Post,2024-06-26,22,Wednesday,243,23,True,107534,369739,671,121,90,119,20516,0.0082,0.0555,-0.884,Positive
185,11,Twitter,Story,2024-06-26,22,Wednesday,25,5,False,228794,315362,3123,705,439,164,7031,0.0186,0.0223,0.906,Negative
186,11,Twitter,Reel,2024-06-16,10,Sunday,433,13,False,411510,1264988,3541,723,520,260,77550,0.0116,0.0613,0.048,Neutral
187,11,Twitter,Article,2024-06-21,3,Friday,477,18,True,303331,790504,4431,376,602,360,17139,0.0178,0.0217,-0.543,Negative
188,11,Twitter,Reel,2024-06-04,17,Tuesday,431,29,False,24088,76138,67,11,12,16,1715,0.0037,0.0225,-0.551,Positive
189,11,Twitter,Article,2024-06-14,16,Friday,43,30,False,481171,1361084,3650,608,419,313,99544,0.0097,0.0731,-0.862,Neutral
190,11,Twitter,Tweet,2024-06-25,19,Tuesday,144,14,False,149010,440542,1244,226,117,257,13397,0.0107,0.0304,0.183,Neutral
191,11,Twitter,Post,2024-06-22,20,Saturday,449,22,True,407787,639823,10842,1109,305,1047,24762,0.0301,0.0387,0.902,Positive
192,11,Twitter,Story,2024-06-22,22,Saturday,163,2,True,345616,692289,6311,751,1051,1528,27267,0.0235,0.0394,0.843,Negative
193,12,LinkedIn,Carousel,2024-10-10,1,Thursday,242,21,True,470540,938247,14583,1652,851,947,63235,0.0363,0.0674,-0.526,Neutral
194,12,LinkedIn,Article,2024-09-21,18,Saturday,75,4,True,486512,1470219,16838,1911,975,1524,22388,0.0405,0.0152,-0.671,Neutral
195,12,LinkedIn,Article,2024-09-21,21,Saturday,175,26,True,214129,297589,5374,699,419,365,20734,0.0303,0.0697,-0.57,Neutral
196,12,LinkedIn,Video,2024-09-13,14,Friday,304,23,True,48821,137029,1774,157,125,150,9236,0.0421,0.0674,-0.811,Positive
197,12,LinkedIn,Tweet,2024-09-12,2,Thursday,318,18,False,64676,72999,2735,217,295,481,2632,0.0502,0.0361,0.835,Positive
198,12,LinkedIn,Video,2024-09-07,1,Saturday,106,29,False,34801,54797,1184,94,140,88,3650,0.0407,0.0666,0.643,Neutral
199,12,LinkedIn,Carousel,2024-09-30,19,Monday,335,7,False,16457,33219,369,85,25,29,1369,0.0291,0.0412,-0.002,Negative
200,12,LinkedIn,Carousel,2024-09-29,0,Sunday,215,25,False,32970,43208,728,133,97,181,1185,0.0291,0.0274,-0.041,Neutral
201,12,LinkedIn,Post,2024-09-22,1,Sunday,434,15,False,479505,1178413,9157,828,1067,1942,14201,0.023,0.0121,0.534,Positive
202,12,LinkedIn,Carousel,2024-09-13,12,Friday,201,29,True,53499,90673,1046,204,125,250,5756,0.0257,0.0635,-0.648,Negative
203,12,LinkedIn,Story,2024-09-21,15,Saturday,297,9,True,423686,1216594,9859,1751,700,773,60508,0.0291,0.0497,-0.019,Positive
204,12,LinkedIn,Story,2024-09-08,10,Sunday,50,0,True,122961,312811,1645,212,176,194,20786,0.0165,0.0664,0.173,Positive
205,12,LinkedIn,Post,2024-09-11,4,Wednesday,100,23,False,444799,1051107,8028,1853,1122,941,53628,0.0247,0.051,0.584,Neutral
206,12,LinkedIn,Story,2024-10-07,12,Monday,177,23,False,167347,254047,6961,1404,815,1167,6510,0.0549,0.0256,-0.745,Negative
207,12,LinkedIn,Article,2024-09-06,19,Friday,133,20,True,498438,1388060,16154,2718,1398,1835,31572,0.0407,0.0227,0.873,Positive
208,12,LinkedIn,Tweet,2024-09-22,10,Sunday,248,0,False,391774,504109,7907,1507,1287,1454,34035,0.0273,0.0675,-0.581,Negative
209,12,LinkedIn,Video,2024-09-09,12,Monday,199,17,False,184753,317032,2248,398,353,510,24676,0.0162,0.0778,-0.797,Neutral
210,12,LinkedIn,Reel,2024-10-04,2,Friday,195,5,False,342295,999427,6312,1290,225,645,11398,0.0229,0.0114,-0.678,Positive
211,13,LinkedIn,Story,2024-08-19,1,Monday,71,10,True,178183,450032,5118,421,757,1166,9698,0.0353,0.0215,0.949,Neutral
212,13,LinkedIn,Article,2024-09-17,15,Tuesday,98,1,False,291514,825827,8312,1120,559,1366,11127,0.0343,0.0135,-0.992,Positive
213,13,LinkedIn,Article,2024-08-29,3,Thursday,177,25,False,432959,1164161,10668,1001,641,708,35421,0.0284,0.0304,-0.058,Negative
214,13,LinkedIn,Post,2024-08-27,7,Tuesday,448,8,True,48781,128805,1058,152,60,145,1690,0.026,0.0131,-0.698,Negative
215,13,LinkedIn,Article,2024-09-16,16,Monday,234,30,False,51700,67504,1155,256,117,251,3290,0.0296,0.0487,0.145,Positive
216,13,LinkedIn,Carousel,2024-09-07,4,Saturday,81,30,False,157684,203332,6319,886,814,1172,13426,0.0509,0.066,-0.654,Positive
217,13,LinkedIn,Carousel,2024-08-25,8,Sunday,183,29,True,424866,663871,4828,1091,333,384,44864,0.0147,0.0676,-0.826,Negative
218,13,LinkedIn,Video,2024-09-03,3,Tuesday,232,4,True,290435,546803,5748,1238,747,888,29316,0.0266,0.0536,0.133,Negative
219,13,LinkedIn,Tweet,2024-08-19,15,Monday,312,19,False,485928,657715,18297,3401,2248,1881,46995,0.0493,0.0715,-0.925,Neutral
220,13,LinkedIn,Video,2024-09-03,8,Tuesday,479,11,True,76420,197452,2239,323,325,134,11518,0.0378,0.0583,-0.324,Neutral
221,13,LinkedIn,Article,2024-08-30,10,Friday,157,23,False,147982,462122,5671,1183,307,1127,14341,0.0484,0.031,0.21,Positive
222,13,LinkedIn,Story,2024-08-24,2,Saturday,179,22,False,232586,373844,8896,1551,1100,1361,25223,0.0496,0.0675,-0.729,Negative
223,13,LinkedIn,Story,2024-09-11,8,Wednesday,208,26,False,16177,24540,498,49,20,60,332,0.035,0.0135,0.01,Negative
224,13,LinkedIn,Story,2024-08-21,8,Wednesday,403,26,True,358131,420213,8476,846,1120,1016,21465,0.0292,0.0511,-0.43,Neutral
225,13,LinkedIn,Carousel,2024-08-17,0,Saturday,462,24,True,86410,272119,2496,319,168,450,6659,0.0345,0.0245,-0.052,Positive
226,13,LinkedIn,Video,2024-09-15,12,Sunday,456,11,False,91807,233441,1074,243,82,191,18136,0.0152,0.0777,-0.496,Neutral
227,13,LinkedIn,Carousel,2024-08-29,20,Thursday,324,19,False,356045,836538,10807,811,1599,2354,64960,0.0371,0.0777,-0.403,Positive
228,13,LinkedIn,Story,2024-09-07,4,Saturday,284,24,True,34469,65735,639,83,77,115,5038,0.0232,0.0766,0.799,Negative
229,13,LinkedIn,Tweet,2024-09-03,1,Tuesday,318,22,True,347308,648426,4512,886,388,590,47648,0.0167,0.0735,-0.314,Negative
230,14,LinkedIn,Carousel,2024-10-28,5,Monday,170,3,False,281302,740373,8587,942,483,1558,16213,0.0356,0.0219,-0.744,Neutral
231,14,LinkedIn,Article,2024-10-28,9,Monday,235,25,False,424804,1037233,18820,3359,1736,1781,26509,0.0563,0.0256,-0.257,Negative
232,14,LinkedIn,Carousel,2024-10-23,3,Wednesday,464,21,False,244144,767323,7202,1027,905,1641,11498,0.0374,0.015,0.06,Neutral
233,14,LinkedIn,Post,2024-10-20,22,Sunday,112,24,True,457575,1441441,6533,1060,764,924,105893,0.0183,0.0735,-0.025,Negative
234,14,LinkedIn,Article,2024-10-22,2,Tuesday,86,19,False,165319,433598,1942,420,111,287,27539,0.015,0.0635,0.267,Neutral
235,14,LinkedIn,Story,2024-10-25,0,Friday,366,0,True,251295,507605,3025,471,114,655,16525,0.0144,0.0326,-0.547,Neutral
236,14,LinkedIn,Carousel,2024-10-23,19,Wednesday,288,10,False,68596,92364,1629,155,65,229,7055,0.027,0.0764,0.776,Positive
237,14,LinkedIn,Story,2024-10-24,6,Thursday,395,0,True,473584,1078080,13012,3331,2011,1234,12224,0.0388,0.0113,-0.754,Negative
238,14,LinkedIn,Tweet,2024-10-27,0,Sunday,44,22,True,416302,495262,13220,2371,547,2411,39436,0.0388,0.0796,-0.166,Neutral
239,14,LinkedIn,Carousel,2024-10-21,8,Monday,338,19,True,287933,491378,7774,1641,287,545,19390,0.0337,0.0395,-0.162,Positive
240,14,LinkedIn,Story,2024-10-26,11,Saturday,380,13,False,377840,975762,8699,1180,812,1881,62894,0.0283,0.0645,-0.679,Negative
241,14,LinkedIn,Tweet,2024-10-26,15,Saturday,96,30,True,478289,764528,16428,1378,2021,3565,56178,0.0415,0.0735,0.559,Positive
242,14,LinkedIn,Story,2024-10-28,1,Monday,456,9,False,380362,510863,6547,1712,502,458,21711,0.023,0.0425,0.603,Neutral
243,14,LinkedIn,Video,2024-10-25,19,Friday,157,28,True,388207,535012,16095,1069,651,1862,29588,0.0459,0.0553,-0.255,Neutral
244,14,LinkedIn,Article,2024-10-22,5,Tuesday,77,4,True,60680,125114,2064,314,312,371,8256,0.0443,0.066,0.963,Positive
245,14,LinkedIn,Article,2024-10-21,21,Monday,470,26,True,219118,720228,5776,808,593,995,46484,0.0328,0.0645,-0.034,Neutral
246,15,Instagram,Tweet,2024-07-10,18,Wednesday,134,30,False,216631,467414,5386,396,691,1070,21845,0.0299,0.0467,0.038,Negative
247,15,Instagram,Carousel,2024-07-01,19,Monday,47,0,True,325135,431968,16729,2462,2157,3643,15957,0.0657,0.0369,0.011,Neutral
248,15,Instagram,Tweet,2024-07-08,12,Monday,226,26,True,260960,831574,6207,710,935,586,11246,0.0301,0.0135,-0.842,Neutral
249,15,Instagram,Video,2024-07-05,1,Friday,305,17,True,301435,655752,20470,1997,1930,1443,36549,0.0809,0.0557,0.652,Negative
250,15,Instagram,Story,2024-06-27,14,Thursday,189,17,False,335253,613860,14273,2975,2438,868,21751,0.0587,0.0354,0.433,Neutral
251,15,Instagram,Carousel,2024-07-01,11,Monday,379,3,True,238257,327283,13273,1971,2024,1438,25367,0.0725,0.0775,0.794,Neutral
252,15,Instagram,Video,2024-06-03,6,Monday,386,10,True,431880,1218097,21817,4554,1435,2805,91497,0.0644,0.0751,0.514,Positive
253,15,Instagram,Video,2024-07-11,0,Thursday,291,23,True,333000,1035603,20220,2626,2008,1555,79672,0.0746,0.0769,0.106,Neutral
254,15,Instagram,Video,2024-07-07,21,Sunday,327,19,False,307771,695265,18099,1578,1545,1369,42504,0.069,0.0611,0.008,Neutral
255,15,Instagram,Video,2024-06-17,19,Monday,378,28,False,320288,1056368,18384,4622,3083,1409,44049,0.0815,0.0417,0.686,Negative
256,15,Instagram,Tweet,2024-07-08,4,Monday,383,20,True,165579,465028,13042,1325,1322,1552,14109,0.0948,0.0303,0.008,Negative
257,15,Instagram,Article,2024-06-27,17,Thursday,166,28,False,170020,476880,11194,1812,1597,2069,28473,0.0859,0.0597,0.617,Negative
258,15,Instagram,Story,2024-06-02,1,Sunday,373,25,False,14249,28698,256,38,41,47,2262,0.0235,0.0788,-0.592,Negative
259,15,Instagram,Story,2024-05-29,16,Wednesday,421,25,False,189052,577301,5638,919,661,914,35774,0.0382,0.062,0.386,Positive
260,15,Instagram,Carousel,2024-07-11,14,Thursday,444,7,False,201059,408176,18505,1897,1497,1855,4452,0.1089,0.0109,0.51,Negative
261,16,Instagram,Carousel,2024-11-23,3,Saturday,213,1,False,104006,308144,7145,822,906,605,7114,0.0853,0.0231,-0.442,Neutral
262,16,Instagram,Reel,2024-10-31,20,Thursday,335,26,False,85373,213566,2708,546,146,310,4433,0.0398,0.0208,-0.019,Negative
263,16,Instagram,Carousel,2024-11-20,17,Wednesday,226,2,False,188739,240625,11628,2576,1090,952,15649,0.081,0.065,-0.558,Positive
264,16,Instagram,Tweet,2024-11-26,0,Tuesday,78,21,False,175002,331551,7751,1104,572,1553,16343,0.0539,0.0493,-0.109,Negative
265,16,Instagram,Carousel,2024-11-23,23,Saturday,164,0,False,482614,1250315,39557,4607,5235,5030,95210,0.1024,0.0761,0.029,Negative
266,16,Instagram,Carousel,2024-11-15,17,Friday,23,20,True,256225,308813,15840,2879,2722,3821,6706,0.0837,0.0217,-0.578,Negative
267,16,Instagram,Tweet,2024-12-01,2,Sunday,402,21,True,112765,358128,4083,797,585,837,28054,0.0485,0.0783,-0.952,Negative
268,16,Instagram,Video,2024-11-10,14,Sunday,342,12,False,20863,27331,537,77,48,54,708,0.0317,0.0259,-0.367,Neutral
269,16,Instagram,Carousel,2024-11-26,3,Tuesday,168,25,False,63026,150228,3790,694,369,244,8872,0.077,0.0591,0.213,Neutral
270,16,Instagram,Article,2024-12-01,17,Sunday,171,30,True,486852,1046937,22285,3108,2000,2856,20464,0.0563,0.0195,-0.404,Negative
271,16,Instagram,Carousel,2024-11-25,2,Monday,176,6,False,196627,668087,4647,390,142,598,33464,0.0263,0.0501,-0.577,Negative
272,16,Instagram,Reel,2024-12-05,17,Thursday,256,20,True,269725,388914,8603,945,366,1406,22155,0.0368,0.057,-0.419,Positive
273,16,Instagram,Reel,2024-11-06,6,Wednesday,182,15,False,52486,82602,3390,370,318,362,2182,0.0777,0.0264,-0.343,Negative
274,16,Instagram,Story,2024-11-08,22,Friday,398,20,False,364571,912159,17971,2407,1600,1783,9430,0.0603,0.0103,-0.447,Neutral
275,16,Instagram,Carousel,2024-10-31,2,Thursday,450,8,True,357295,1021554,24882,3344,1730,2118,49664,0.0838,0.0486,0.783,Positive
276,16,Instagram,Video,2024-11-06,18,Wednesday,128,29,True,385588,1244371,7432,737,861,1236,15160,0.0234,0.0122,0.103,Negative
277,16,Instagram,Video,2024-12-07,16,Saturday,281,2,False,283946,634065,17273,2049,2316,1868,38884,0.0762,0.0613,-0.272,Positive
278,16,Instagram,Carousel,2024-11-26,21,Tuesday,466,30,True,126242,395788,8861,862,791,760,16320,0.0833,0.0412,0.472,Neutral
279,16,Instagram,Article,2024-12-09,11,Monday,218,15,False,189112,226368,10612,1424,721,1629,12857,0.0675,0.0568,0.763,Positive
280,16,Instagram,Story,2024-12-11,12,Wednesday,354,12,False,341013,640344,20892,4232,2762,3319,18206,0.0818,0.0284,0.175,Positive
281,17,LinkedIn,Reel,2024-10-28,16,Monday,471,4,False,198304,681058,3565,755,272,810,44599,0.0232,0.0655,-0.669,Positive
282,17,LinkedIn,Post,2024-11-03,23,Sunday,78,15,False,338367,600243,4815,969,751,640,33780,0.0193,0.0563,-0.042,Negative
283,17,LinkedIn,Carousel,2024-10-25,4,Friday,48,5,False,340350,1055110,3648,763,233,210,57047,0.0136,0.0541,0.845,Negative
284,17,LinkedIn,Carousel,2024-10-31,15,Thursday,464,15,True,315235,1080053,10952,1761,1229,1022,82416,0.0442,0.0763,-0.561,Neutral
285,17,LinkedIn,Video,2024-11-05,19,Tuesday,322,2,True,75822,228002,2220,464,164,263,13838,0.0376,0.0607,-0.244,Positive
286,17,LinkedIn,Carousel,2024-10-24,19,Thursday,39,28,True,9683,15353,342,48,16,49,257,0.0419,0.0167,-0.814,Negative
287,17,LinkedIn,Reel,2024-10-25,22,Friday,291,13,True,473899,1207655,19353,3208,1810,2401,56208,0.0514,0.0465,0.877,Neutral
288,17,LinkedIn,Story,2024-10-31,2,Thursday,165,19,False,184772,464464,6683,1097,255,971,8997,0.0435,0.0194,-0.484,Positive
289,17,LinkedIn,Post,2024-11-08,3,Friday,99,13,False,390884,1170546,9023,854,1219,1021,68059,0.0284,0.0581,-0.477,Negative
290,17,LinkedIn,Post,2024-11-01,17,Friday,304,15,False,297049,587428,6489,1156,488,950,38103,0.0274,0.0649,0.977,Negative
291,17,LinkedIn,Story,2024-10-30,3,Wednesday,129,16,False,406900,1136547,15215,2331,1605,2888,46895,0.0471,0.0413,0.572,Negative
292,17,LinkedIn,Carousel,2024-11-05,13,Tuesday,65,2,False,366458,1005177,4990,919,682,720,67977,0.018,0.0676,-0.556,Positive
293,17,LinkedIn,Article,2024-11-05,5,Tuesday,347,15,False,20794,59029,738,137,51,45,4571,0.0445,0.0774,-0.979,Negative
294,17,LinkedIn,Tweet,2024-11-03,0,Sunday,100,2,False,150949,236596,5063,929,536,617,13528,0.0432,0.0572,0.559,Neutral
295,17,LinkedIn,Carousel,2024-11-07,18,Thursday,198,11,False,208168,431549,2942,701,545,574,20917,0.0201,0.0485,-0.547,Positive
296,17,LinkedIn,Reel,2024-11-02,16,Saturday,151,28,False,488437,1010818,5447,992,637,642,45711,0.0145,0.0452,0.388,Neutral
297,17,LinkedIn,Reel,2024-11-04,8,Monday,54,12,True,254561,750425,10094,1227,728,559,38330,0.0473,0.0511,0.354,Positive
298,17,LinkedIn,Article,2024-10-29,10,Tuesday,58,17,True,217229,737073,4442,1176,352,820,12169,0.0275,0.0165,-0.047,Neutral
299,17,LinkedIn,Story,2024-10-27,8,Sunday,125,7,True,469879,1163848,9289,1835,451,900,71690,0.0246,0.0616,0.67,Negative
300,18,LinkedIn,Reel,2024-03-07,15,Thursday,210,19,False,409388,555152,16343,2705,1607,2587,35250,0.0505,0.0635,-0.015,Negative
301,18,LinkedIn,Video,2024-03-13,15,Wednesday,296,1,False,258323,397531,8534,1172,1045,1324,7544,0.0416,0.019,-0.213,Negative
302,18,LinkedIn,Post,2024-03-08,11,Friday,333,27,False,240702,828885,7360,1371,241,1223,20517,0.0373,0.0248,-0.626,Neutral
303,18,LinkedIn,Article,2024-03-11,12,Monday,163,14,True,142247,317385,3861,632,233,480,18741,0.0332,0.059,0.143,Negative
304,18,LinkedIn,Story,2024-03-11,15,Monday,432,0,True,427870,573212,7520,1228,665,1818,11584,0.022,0.0202,-0.157,Positive
305,18,LinkedIn,Reel,2024-03-25,6,Monday,436,8,False,280960,794932,8522,1534,945,1603,30118,0.0392,0.0379,0.678,Positive
306,18,LinkedIn,Article,2024-03-21,21,Thursday,330,6,True,391381,744866,9005,1929,547,668,8482,0.0293,0.0114,0.959,Neutral
307,18,LinkedIn,Story,2024-03-17,5,Sunday,347,25,False,171440,465573,4882,941,341,860,13993,0.036,0.0301,-0.156,Negative
308,18,LinkedIn,Tweet,2024-03-27,12,Wednesday,158,28,False,213217,668938,2673,354,220,276,20332,0.0152,0.0304,0.562,Neutral
309,18,LinkedIn,Tweet,2024-03-28,23,Thursday,60,6,True,274120,936739,5563,524,783,1324,52777,0.0251,0.0563,-0.206,Positive
310,18,LinkedIn,Story,2024-03-03,2,Sunday,355,29,False,492149,1579236,10482,1851,1675,1074,24995,0.0285,0.0158,-0.381,Positive
311,18,LinkedIn,Video,2024-03-13,14,Wednesday,465,17,False,233343,607521,4428,311,430,509,42663,0.0222,0.0702,0.097,Positive
312,18,LinkedIn,Post,2024-03-26,15,Tuesday,296,7,True,93818,236233,2601,494,196,407,12942,0.0351,0.0548,-0.116,Neutral
313,18,LinkedIn,Tweet,2024-03-20,15,Wednesday,406,15,False,137213,202213,1841,352,86,289,6081,0.0166,0.0301,-0.982,Neutral
314,18,LinkedIn,Tweet,2024-03-14,20,Thursday,219,26,False,314001,519645,3899,580,413,322,19555,0.0156,0.0376,-0.559,Positive
315,18,LinkedIn,Article,2024-03-20,8,Wednesday,231,6,True,328849,550805,12857,2174,1243,2553,16484,0.0495,0.0299,-0.635,Neutral
316,18,LinkedIn,Reel,2024-03-05,5,Tuesday,72,9,False,334915,734409,9064,1266,582,2211,15165,0.0326,0.0206,-0.75,Neutral
317,19,Instagram,Tweet,2024-01-08,1,Monday,189,2,True,123059,162003,2178,354,319,270,7271,0.0232,0.0449,-0.888,Neutral
318,19,Instagram,Story,2024-01-09,12,Tuesday,414,14,True,285789,636838,10171,1780,1165,2071,11805,0.0459,0.0185,0.475,Positive
319,19,Instagram,Story,2024-01-12,20,Friday,392,1,True,242610,695022,6529,660,477,1548,53714,0.0316,0.0773,-0.493,Negative
320,19,Instagram,Article,2024-01-15,8,Monday,319,3,False,105188,206696,2554,537,141,135,8348,0.0307,0.0404,0.578,Positive
321,19,Instagram,Carousel,2024-01-09,10,Tuesday,496,24,True,305651,910944,15100,1938,604,1031,19165,0.0577,0.021,-0.88,Negative
322,19,Instagram,Video,2024-01-11,23,Thursday,118,0,False,368697,880171,9452,1194,945,1129,48519,0.0314,0.0551,-0.284,Positive
323,19,Instagram,Post,2024-01-14,23,Sunday,259,8,True,472158,564121,29507,4608,2616,4683,28019,0.0778,0.0497,-0.862,Positive
324,19,Instagram,Carousel,2024-01-18,11,Thursday,417,19,True,156017,478442,7816,1567,742,1770,29355,0.0649,0.0614,-0.359,Positive
325,19,Instagram,Reel,2024-01-21,3,Sunday,287,21,True,430417,873737,21564,3492,2293,3842,28468,0.0635,0.0326,-0.912,Positive
326,19,Instagram,Carousel,2024-01-12,22,Friday,322,8,True,458961,539305,10141,967,1297,1500,20063,0.027,0.0372,-0.267,Negative
327,19,Instagram,Carousel,2024-01-09,23,Tuesday,500,28,False,7860,26193,248,53,10,15,1730,0.0396,0.066,0.644,Negative
328,19,Instagram,Reel,2024-01-09,23,Tuesday,138,17,False,432826,1116968,24196,4482,881,3723,28050,0.0683,0.0251,-0.621,Negative
329,19,Instagram,Video,2024-01-14,22,Sunday,360,13,True,299858,779864,10018,1265,393,1218,42661,0.0389,0.0547,-0.666,Positive
330,19,Instagram,Post,2024-01-21,11,Sunday,231,24,False,211531,488903,12453,2074,1786,1992,35774,0.0771,0.0732,0.652,Neutral
331,19,Instagram,Reel,2024-01-13,23,Saturday,37,9,True,296250,713815,12561,2350,921,3039,29743,0.0534,0.0417,0.035,Neutral
332,19,Instagram,Carousel,2024-01-08,17,Monday,312,29,True,158461,548678,4647,994,746,1086,37070,0.0403,0.0676,-0.811,Neutral
333,19,Instagram,Story,2024-01-16,23,Tuesday,59,23,False,82845,118648,3523,382,443,457,1949,0.0525,0.0164,0.586,Positive
334,19,Instagram,Video,2024-01-19,2,Friday,419,1,False,433907,1413520,30180,2409,2888,6388,17832,0.0818,0.0126,-0.304,Neutral
335,19,Instagram,Video,2024-01-18,1,Thursday,176,16,True,488716,1555482,30058,6100,3608,6176,16799,0.0814,0.0108,-0.361,Negative
336,19,Instagram,Carousel,2024-01-11,2,Thursday,133,13,False,172353,397405,4428,1058,442,748,16370,0.0344,0.0412,0.573,Positive
337,20,Twitter,Article,2024-02-04,4,Sunday,266,17,True,44277,99271,914,104,71,173,4011,0.0246,0.0404,-0.024,Negative
338,20,Twitter,Carousel,2024-02-06,2,Tuesday,77,21,False,103812,254007,2722,307,171,508,10186,0.0308,0.0401,-0.153,Neutral
339,20,Twitter,Carousel,2024-02-02,4,Friday,245,1,True,169159,325945,3454,316,226,727,22004,0.0236,0.0675,-0.601,Neutral
340,20,Twitter,Post,2024-02-01,0,Thursday,195,22,True,398270,1134419,2301,236,222,498,23071,0.0069,0.0203,-0.39,Neutral
341,20,Twitter,Story,2024-01-31,22,Wednesday,377,21,True,174998,280280,2340,426,169,458,12279,0.0168,0.0438,-0.247,Negative
342,20,Twitter,Reel,2024-02-06,12,Tuesday,358,8,False,23797,40766,94,20,7,22,1734,0.0051,0.0425,0.729,Positive
343,20,Twitter,Carousel,2024-02-03,17,Saturday,65,5,True,455772,1467661,6704,851,648,985,107537,0.018,0.0733,0.001,Neutral
344,20,Twitter,Tweet,2024-02-06,11,Tuesday,201,20,False,486674,1367517,2415,250,184,129,84932,0.0059,0.0621,-0.528,Negative
345,20,Twitter,Story,2024-02-03,4,Saturday,194,28,False,426665,532829,3685,897,593,883,40542,0.0121,0.0761,0.314,Positive
346,20,Twitter,Post,2024-02-08,19,Thursday,188,14,True,201386,473201,4407,686,308,596,23708,0.0268,0.0501,-0.586,Positive
347,20,Twitter,Article,2024-02-07,4,Wednesday,355,29,True,284825,780909,1863,408,316,253,57529,0.0091,0.0737,-0.365,Negative
348,20,Twitter,Video,2024-02-06,9,Tuesday,246,23,False,498340,1408636,4288,368,127,1048,45510,0.0096,0.0323,-0.696,Positive
349,20,Twitter,Tweet,2024-02-01,0,Thursday,203,2,False,69967,107986,1515,170,144,146,2825,0.0261,0.0262,-0.732,Negative
350,20,Twitter,Reel,2024-02-05,8,Monday,231,7,True,374303,995258,2638,416,141,347,25716,0.0085,0.0258,0.516,Positive
